time (unix)	dt (s)	p (Pa)
1616516927.354	1.610	3001.590
1616516957.350	1.609	3002.120
1616516987.351	1.612	3002.525
1616517017.350	1.610	3001.885
1616517047.350	1.607	3001.923
1616517077.350	1.610	3001.697
1616517107.354	1.613	3002.575
1616517137.348	1.607	3003.048
1616517167.352	1.610	3002.928
1616517197.350	1.610	3002.708
1616517227.352	1.609	3002.685
1616517257.352	1.613	3002.968
1616517287.352	1.612	3002.945
1616517317.352	1.609	3003.020
1616517347.349	1.610	3003.330
1616517377.347	1.609	3003.528
1616517407.355	1.613	3003.712
1616517437.353	1.610	3003.630
1616517467.350	1.607	3003.280
1616517497.351	1.611	3003.470
1616517527.350	1.611	3003.625
1616517557.350	1.609	3003.900
1616517587.351	1.611	3003.295
1616517617.351	1.607	3003.520
1616517647.347	1.610	3003.572
1616517677.352	1.613	3004.155
1616517707.351	1.611	3003.982
1616517737.349	1.608	3003.465
1616517767.351	1.611	3004.282
1616517797.350	1.610	3004.607
1616517827.351	1.610	3004.560
1616517857.356	1.612	3004.212
1616517887.353	1.613	3004.413
1616517917.354	1.609	3003.852
1616517947.352	1.610	3003.705
1616517977.351	1.610	3003.303
1616518007.349	1.608	3001.978
1616518037.351	1.612	3000.597
1616518067.351	1.610	2998.777
1616518097.348	1.606	2997.048
1616518127.349	1.609	2995.450
1616518157.347	1.608	2994.405
1616518187.351	1.612	2992.812
1616518217.347	1.606	2991.668
1616518247.354	1.614	2989.972
1616518277.349	1.610	2987.477
1616518307.350	1.612	2984.808
1616518337.349	1.609	2981.488
1616518367.351	1.610	2979.453
1616518397.350	1.609	2976.837
1616518427.352	1.612	2973.865
1616518457.351	1.612	2970.037
1616518487.348	1.610	2968.373
1616518517.349	1.608	2964.480
1616518547.352	1.613	2960.942
1616518577.348	1.608	2958.602
1616518607.352	1.609	2954.512
1616518637.350	1.610	2950.200
1616518667.347	1.610	2945.175
1616518697.351	1.610	2940.880
1616518727.345	1.606	2936.820
1616518757.351	1.612	2932.335
1616518787.350	1.609	2927.965
1616518817.352	1.611	2922.950
1616518847.347	1.608	2918.480
1616518877.351	1.613	2913.822
1616518907.351	1.609	2907.830
1616518937.352	1.610	2902.403
1616518967.346	1.609	2898.058
1616518997.348	1.609	2892.930
1616519027.355	1.613	2887.972
1616519057.350	1.609	2881.985
1616519087.350	1.609	2877.493
1616519117.354	1.612	2872.185
1616519147.349	1.609	2866.092
1616519177.349	1.610	2860.465
1616519207.351	1.610	2855.555
1616519237.347	1.607	2849.758
1616519267.351	1.613	2844.565
1616519297.355	1.611	2838.555
1616519327.356	1.613	2832.922
1616519357.351	1.612	2827.005
1616519387.347	1.609	2821.483
1616519417.350	1.610	2815.657
1616519447.349	1.608	2810.328
1616519477.351	1.612	2803.675
1616519507.349	1.608	2797.233
1616519537.351	1.610	2791.303
1616519567.350	1.609	2785.045
1616519597.347	1.608	2779.483
1616519627.349	1.607	2774.017
1616519657.349	1.610	2767.295
1616519687.351	1.609	2761.022
1616519717.353	1.612	2755.580
1616519747.347	1.607	2750.135
1616519777.352	1.610	2744.318
1616519807.349	1.608	2737.178
1616519837.353	1.613	2730.873
1616519867.349	1.609	2724.615
1616519897.354	1.612	2718.917
1616519927.348	1.611	2712.515
1616519957.349	1.609	2707.568
1616519987.351	1.610	2701.272
1616520017.349	1.606	2694.537
1616520047.352	1.612	2688.072
1616520077.348	1.607	2681.697
1616520107.351	1.612	2676.080
1616520137.351	1.608	2668.797
1616520167.351	1.609	2662.305
1616520197.351	1.612	2656.405
1616520227.350	1.612	2650.332
1616520257.349	1.608	2644.227
1616520287.351	1.613	2638.007
1616520317.349	1.609	2631.113
1616520347.348	1.611	2625.185
1616520377.352	1.609	2618.568
1616520407.350	1.610	2612.543
1616520437.346	1.607	2606.208
1616520467.354	1.613	2599.740
1616520497.354	1.611	2593.475
1616520527.351	1.613	2587.128
1616520557.352	1.609	2580.740
1616520587.355	1.610	2574.243
1616520617.352	1.611	2567.363
1616520647.349	1.609	2560.827
1616520677.349	1.610	2554.665
1616520707.349	1.609	2548.617
1616520737.350	1.610	2542.482
1616520767.350	1.607	2535.982
1616520797.349	1.610	2529.258
1616520827.350	1.609	2523.098
1616520857.354	1.610	2516.893
1616520887.354	1.610	2510.892
1616520917.348	1.609	2504.238
1616520947.354	1.613	2498.207
1616520977.351	1.612	2491.588
1616521007.349	1.611	2485.020
1616521037.349	1.607	2478.293
1616521067.352	1.610	2472.070
1616521097.350	1.609	2465.993
1616521127.352	1.610	2459.755
1616521157.350	1.610	2452.673
1616521187.349	1.607	2446.828
1616521217.352	1.612	2440.658
1616521247.352	1.610	2433.312
1616521277.354	1.612	2427.565
1616521307.350	1.610	2420.997
1616521337.353	1.614	2414.393
1616521367.351	1.609	2408.905
1616521397.350	1.610	2402.757
1616521427.351	1.611	2396.133
1616521457.351	1.610	2389.085
1616521487.349	1.609	2383.078
1616521517.351	1.609	2376.553
1616521547.350	1.607	2370.185
1616521577.352	1.612	2363.728
1616521607.348	1.610	2357.188
1616521637.352	1.609	2350.527
1616521667.347	1.609	2344.500
1616521697.353	1.612	2338.133
1616521727.350	1.610	2331.625
1616521757.349	1.609	2324.787
1616521787.351	1.611	2318.668
1616521817.350	1.607	2311.733
1616521847.351	1.612	2305.165
1616521877.351	1.609	2298.630
1616521907.350	1.613	2292.338
1616521937.349	1.609	2285.962
1616521967.349	1.610	2279.123
1616521997.351	1.609	2272.555
1616522027.350	1.609	2266.145
1616522057.349	1.608	2260.068
1616522087.348	1.608	2253.737
1616522117.352	1.613	2247.062
1616522147.352	1.610	2240.222
1616522177.352	1.610	2233.828
1616522207.353	1.613	2227.443
1616522237.348	1.608	2221.450
1616522267.352	1.611	2215.145
1616522297.352	1.609	2208.798
1616522327.350	1.608	2201.917
1616522357.351	1.612	2195.575
1616522387.352	1.609	2188.948
1616522417.348	1.609	2182.950
1616522447.352	1.611	2176.717
1616522477.348	1.610	2170.188
1616522507.347	1.607	2163.525
1616522537.354	1.614	2157.175
1616522567.349	1.607	2150.762
1616522597.354	1.612	2144.308
1616522627.352	1.613	2137.960
1616522657.351	1.612	2131.615
1616522687.350	1.609	2125.097
1616522717.349	1.607	2118.250
1616522747.351	1.613	2112.375
1616522777.349	1.609	2105.857
1616522807.351	1.613	2099.112
1616522837.351	1.608	2092.168
1616522867.353	1.612	2085.415
1616522897.351	1.613	2079.090
1616522927.349	1.608	2073.045
1616522957.350	1.612	2066.607
1616522987.351	1.610	2060.893
1616523017.348	1.610	2054.283
1616523047.349	1.611	2047.818
1616523077.349	1.608	2041.068
1616523107.350	1.612	2034.388
1616523137.346	1.608	2028.088
1616523167.354	1.613	2021.942
1616523197.352	1.611	2015.553
1616523227.351	1.611	2009.127
1616523257.350	1.610	2002.540
1616523287.350	1.611	1995.897
1616523317.349	1.609	1989.360
1616523347.350	1.609	1982.485
1616523377.352	1.613	1976.053
1616523407.349	1.608	1969.793
1616523437.349	1.609	1963.372
1616523467.356	1.613	1956.325
1616523497.350	1.610	1949.788
1616523527.351	1.609	1943.612
1616523557.348	1.608	1937.392
1616523587.350	1.612	1930.622
1616523617.353	1.609	1923.888
1616523647.355	1.613	1917.037
1616523677.349	1.609	1910.723
1616523707.346	1.609	1904.835
1616523737.347	1.606	1898.513
1616523767.352	1.610	1891.728
1616523797.347	1.610	1885.193
1616523827.351	1.609	1878.313
1616523857.353	1.614	1871.758
1616523887.349	1.609	1865.618
1616523917.350	1.609	1858.900
1616523947.351	1.610	1852.270
1616523977.352	1.610	1845.983
1616524007.354	1.612	1839.413
1616524037.355	1.611	1832.783
1616524067.351	1.609	1826.742
1616524097.354	1.609	1819.473
1616524127.351	1.610	1813.237
1616524157.350	1.610	1806.870
1616524187.352	1.612	1800.082
1616524217.349	1.609	1793.713
1616524247.352	1.610	1787.247
1616524277.349	1.607	1780.747
1616524307.347	1.608	1774.457
1616524337.352	1.613	1767.840
1616524367.352	1.610	1761.177
1616524397.349	1.609	1754.593
1616524427.348	1.609	1748.213
1616524457.349	1.612	1741.740
1616524487.345	1.608	1735.150
1616524517.350	1.611	1728.653
1616524547.351	1.612	1722.145
1616524577.351	1.611	1715.477
1616524607.350	1.612	1708.535
1616524637.349	1.610	1702.022
1616524667.349	1.609	1695.878
1616524697.352	1.613	1689.482
1616524727.349	1.608	1683.010
1616524757.351	1.611	1676.533
1616524787.352	1.608	1669.542
1616524817.348	1.608	1663.187
1616524847.354	1.612	1656.528
1616524877.351	1.611	1649.747
1616524907.350	1.609	1643.440
1616524937.348	1.612	1637.092
1616524967.348	1.607	1630.560
1616524997.352	1.609	1624.122
1616525027.348	1.608	1617.328
1616525057.351	1.611	1611.152
1616525087.350	1.610	1604.312
1616525117.351	1.611	1597.562
1616525147.349	1.612	1591.327
1616525177.347	1.607	1584.943
1616525207.351	1.612	1578.525
1616525237.349	1.608	1571.802
1616525267.352	1.609	1565.305
1616525297.348	1.609	1559.097
1616525327.347	1.608	1552.893
1616525357.351	1.610	1546.153
1616525387.353	1.613	1539.438
1616525417.352	1.610	1532.900
1616525447.352	1.609	1526.313
1616525477.352	1.613	1519.658
1616525507.348	1.607	1513.185
1616525537.357	1.614	1506.807
1616525567.347	1.609	1500.320
1616525597.349	1.609	1493.500
1616525627.351	1.610	1486.918
1616525657.348	1.606	1480.372
1616525687.350	1.609	1473.893
1616525717.350	1.609	1467.877
1616525747.352	1.612	1460.800
1616525777.345	1.606	1454.422
1616525807.352	1.613	1448.125
1616525837.346	1.607	1441.628
1616525867.352	1.612	1435.193
1616525897.351	1.609	1428.715
1616525927.349	1.609	1421.977
1616525957.345	1.608	1415.305
1616525987.351	1.611	1408.577
1616526017.352	1.612	1401.927
1616526047.351	1.609	1395.130
1616526077.350	1.611	1388.850
1616526107.353	1.611	1382.652
1616526137.349	1.611	1376.118
1616526167.347	1.609	1369.830
1616526197.350	1.609	1363.158
1616526227.351	1.609	1356.620
1616526257.349	1.609	1350.083
1616526287.349	1.609	1343.625
1616526317.350	1.612	1337.033
1616526347.351	1.611	1330.530
1616526377.353	1.609	1324.490
1616526407.353	1.613	1317.790
1616526437.348	1.609	1311.068
1616526467.349	1.609	1304.527
1616526497.350	1.612	1297.633
1616526527.350	1.611	1291.213
1616526557.351	1.609	1284.812
1616526587.349	1.610	1278.555
1616526617.352	1.611	1271.863
1616526647.351	1.609	1265.148
1616526677.348	1.609	1258.935
1616526707.351	1.613	1252.173
1616526737.346	1.609	1245.677
1616526767.352	1.610	1238.923
1616526797.351	1.611	1232.350
1616526827.346	1.606	1226.372
1616526857.350	1.611	1219.577
1616526887.350	1.608	1213.252
1616526917.349	1.612	1206.728
1616526947.348	1.609	1199.795
1616526977.349	1.609	1193.418
1616527007.351	1.609	1186.543
1616527037.350	1.609	1180.175
1616527067.351	1.612	1174.032
1616527097.348	1.609	1166.972
1616527127.351	1.613	1160.498
1616527157.351	1.609	1153.853
1616527187.351	1.609	1147.947
1616527217.350	1.609	1141.503
1616527247.351	1.609	1134.382
1616527277.351	1.609	1127.793
1616527307.351	1.609	1121.467
1616527337.350	1.610	1114.762
1616527367.348	1.608	1108.428
1616527397.355	1.612	1101.812
1616527427.353	1.612	1095.478
1616527457.352	1.612	1088.653
1616527487.348	1.608	1081.755
1616527517.352	1.612	1075.007
1616527547.345	1.606	1068.525
1616527577.352	1.612	1061.688
1616527607.352	1.610	1055.125
1616527637.348	1.609	1048.777
1616527667.353	1.610	1042.292
1616527697.349	1.609	1036.483
1616527727.352	1.611	1029.838
1616527757.347	1.609	1023.202
1616527787.353	1.612	1016.360
1616527817.347	1.607	1009.847
1616527847.350	1.611	1003.267
1616527877.351	1.609	996.680
1616527907.351	1.611	989.715
1616527937.346	1.606	982.947
1616527967.350	1.610	976.383
1616527997.350	1.612	970.702
1616528027.351	1.611	965.323
1616528057.348	1.609	959.103
1616528087.346	1.606	953.060
1616528117.349	1.612	947.390
1616528147.355	1.613	941.992
1616528177.350	1.609	936.985
1616528207.352	1.612	932.097
1616528237.351	1.609	927.135
1616528267.347	1.608	922.857
1616528297.351	1.612	918.132
1616528327.350	1.609	914.272
1616528357.354	1.612	910.095
1616528387.352	1.610	905.977
1616528417.350	1.611	902.058
1616528447.351	1.612	898.188
1616528477.348	1.609	894.930
1616528507.347	1.608	892.217
1616528537.351	1.612	888.930
1616528567.347	1.607	885.845
1616528597.350	1.608	882.878
1616528627.350	1.611	880.122
1616528657.349	1.612	877.417
1616528687.352	1.611	874.770
1616528717.353	1.612	872.843
1616528747.350	1.609	870.610
1616528777.352	1.613	868.782
1616528807.349	1.610	866.203
1616528837.348	1.607	864.383
1616528867.349	1.610	862.558
1616528897.350	1.610	860.472
1616528927.350	1.609	858.887
1616528957.348	1.611	857.522
1616528987.349	1.608	855.582
1616529017.347	1.609	854.368
1616529047.350	1.609	853.233
1616529077.352	1.612	852.290
1616529107.349	1.609	850.950
1616529137.349	1.608	849.475
1616529167.349	1.611	848.225
1616529197.352	1.609	847.160
1616529227.354	1.612	845.810
1616529257.353	1.612	844.978
1616529287.348	1.610	844.257
1616529317.346	1.608	843.222
1616529347.353	1.612	842.208
1616529377.347	1.608	841.388
1616529407.353	1.612	840.573
1616529437.345	1.608	839.657
1616529467.354	1.612	838.797
1616529497.351	1.611	838.218
1616529527.346	1.606	837.870
1616529557.352	1.612	837.347
1616529587.349	1.608	836.740
1616529617.349	1.609	835.870
1616529647.348	1.612	835.137
1616529677.351	1.609	834.602
1616529707.353	1.613	834.078
1616529737.349	1.608	833.542
1616529767.355	1.613	833.102
1616529797.353	1.611	832.685
1616529827.350	1.610	832.258
1616529857.354	1.609	831.980
1616529887.349	1.609	831.650
1616529917.355	1.612	831.247
1616529947.352	1.611	830.823
1616529977.348	1.608	830.362
1616530007.351	1.612	830.037
1616530037.347	1.609	829.722
1616530067.349	1.609	829.437
1616530097.351	1.611	829.222
1616530127.351	1.609	829.037
1616530157.352	1.613	828.743
1616530187.347	1.608	828.482
1616530217.348	1.611	828.338
1616530247.350	1.610	828.063
1616530277.351	1.609	828.003
1616530307.349	1.612	827.673
1616530337.351	1.612	827.518
1616530367.349	1.608	827.268
1616530397.349	1.612	827.202
1616530427.349	1.609	827.018
1616530457.349	1.608	826.860
1616530487.351	1.612	826.837
1616530517.347	1.611	826.768
1616530547.346	1.608	826.533
1616530577.352	1.611	826.452
1616530607.351	1.610	826.417
1616530637.348	1.609	826.253
1616530667.347	1.609	826.108
1616530697.348	1.608	826.110
1616530727.347	1.608	826.023
1616530757.349	1.611	826.020
1616530787.352	1.609	825.833
1616530817.350	1.611	825.932
1616530847.349	1.609	825.617
1616530877.350	1.609	825.528
1616530907.351	1.610	825.218
1616530937.354	1.610	825.185
1616530967.352	1.611	825.193
1616530997.351	1.608	825.102
1616531027.352	1.611	825.095
1616531057.353	1.612	825.047
1616531087.349	1.609	824.830
1616531117.353	1.611	824.812
1616531147.351	1.610	824.777
1616531177.351	1.610	824.785
1616531207.347	1.608	824.805
1616531237.348	1.608	824.802
1616531267.353	1.611	824.812
1616531297.346	1.606	824.785
1616531327.349	1.608	824.793
1616531357.349	1.609	824.625
1616531387.354	1.612	824.668
1616531417.355	1.611	824.468
1616531447.349	1.611	824.602
1616531477.351	1.609	824.640
1616531507.354	1.612	824.788
1616531537.348	1.609	824.780
1616531567.352	1.612	824.823
1616531597.349	1.609	824.877
1616531627.346	1.609	825.235
1616531657.347	1.609	826.117
1616531687.346	1.608	826.623
1616531717.348	1.611	827.282
1616531747.349	1.611	828.237
1616531777.351	1.610	829.438
1616531807.348	1.609	830.782
1616531837.350	1.609	832.557
1616531867.351	1.611	834.368
1616531897.350	1.612	836.773
1616531927.346	1.609	838.658
1616531957.351	1.609	841.092
1616531987.352	1.611	843.670
1616532017.351	1.611	846.278
1616532047.349	1.610	848.997
1616532077.351	1.611	852.107
1616532107.348	1.608	854.798
1616532137.351	1.611	858.180
1616532167.352	1.612	861.575
1616532197.351	1.611	864.972
1616532227.353	1.611	868.678
1616532257.348	1.609	872.325
1616532287.354	1.611	875.853
1616532317.349	1.609	880.085
1616532347.352	1.611	884.245
1616532377.351	1.612	888.520
1616532407.350	1.611	892.880
1616532437.347	1.609	897.038
1616532467.349	1.611	902.003
1616532497.349	1.608	906.897
1616532527.352	1.611	912.060
1616532557.348	1.609	916.797
1616532587.352	1.612	921.690
1616532617.348	1.608	926.663
1616532647.350	1.609	932.083
1616532677.354	1.611	936.948
1616532707.348	1.608	941.933
1616532737.346	1.607	947.315
1616532767.350	1.609	952.927
1616532797.351	1.611	958.198
1616532827.351	1.610	964.047
1616532857.352	1.611	969.087
1616532887.350	1.608	974.183
1616532917.347	1.609	978.995
1616532947.349	1.609	984.773
1616532977.349	1.609	990.307
1616533007.350	1.612	996.148
1616533037.353	1.610	1001.875
1616533067.348	1.606	1007.572
1616533097.351	1.609	1013.113
1616533127.351	1.612	1018.835
1616533157.349	1.609	1024.752
1616533187.352	1.612	1030.395
1616533217.350	1.608	1036.248
1616533247.350	1.609	1041.735
1616533277.350	1.609	1047.563
1616533307.348	1.611	1053.210
1616533337.349	1.609	1059.183
1616533367.352	1.611	1065.097
1616533397.351	1.612	1070.992
1616533427.351	1.611	1077.162
1616533457.347	1.608	1083.163
1616533487.353	1.613	1089.592
1616533517.349	1.609	1095.562
1616533547.349	1.612	1101.523
1616533577.351	1.610	1107.577
1616533607.352	1.612	1113.615
1616533637.351	1.609	1119.560
1616533667.349	1.611	1125.278
1616533697.347	1.608	1131.458
1616533727.350	1.609	1137.507
1616533757.351	1.610	1143.813
1616533787.352	1.612	1149.893
1616533817.351	1.610	1155.667
1616533847.353	1.612	1161.828
1616533877.347	1.609	1167.720
1616533907.352	1.611	1174.180
1616533937.349	1.609	1180.022
1616533967.350	1.609	1186.132
1616533997.349	1.609	1192.502
1616534027.350	1.612	1198.535
1616534057.349	1.609	1205.042
1616534087.349	1.611	1211.172
1616534117.350	1.611	1217.193
1616534147.349	1.612	1223.347
1616534177.350	1.612	1229.328
1616534207.348	1.608	1235.648
1616534237.351	1.612	1241.728
1616534267.348	1.610	1248.038
1616534297.349	1.609	1254.287
1616534327.350	1.609	1260.545
1616534357.351	1.610	1266.863
1616534387.353	1.609	1273.255
1616534417.348	1.609	1279.712
1616534447.351	1.610	1285.993
1616534477.352	1.611	1292.368
1616534507.351	1.609	1298.628
1616534537.350	1.611	1305.035
1616534567.350	1.611	1311.467
1616534597.348	1.608	1317.858
1616534627.354	1.611	1324.128
1616534657.350	1.610	1330.405
1616534687.351	1.611	1336.678
1616534717.347	1.608	1343.197
1616534747.351	1.609	1349.683
1616534777.350	1.609	1355.980
1616534807.353	1.613	1362.342
1616534837.354	1.611	1368.653
1616534867.352	1.612	1375.133
1616534897.351	1.612	1381.515
1616534927.349	1.610	1387.865
1616534957.349	1.607	1394.353
1616534987.351	1.609	1400.737
1616535017.351	1.612	1407.112
1616535047.351	1.609	1413.930
1616535077.349	1.609	1420.282
1616535107.351	1.609	1426.998
1616535137.349	1.612	1433.212
1616535167.354	1.612	1439.735
1616535197.349	1.608	1446.262
1616535227.352	1.611	1452.705
1616535257.353	1.611	1458.922
1616535287.350	1.609	1465.660
1616535317.352	1.612	1472.020
1616535347.353	1.612	1478.352
1616535377.349	1.609	1484.780
1616535407.349	1.611	1491.320
1616535437.350	1.609	1498.155
1616535467.352	1.612	1504.600
1616535497.349	1.608	1510.952
1616535527.350	1.611	1517.425
1616535557.352	1.612	1523.827
1616535587.354	1.612	1530.513
1616535617.348	1.608	1536.860
1616535647.349	1.612	1543.227
1616535677.352	1.611	1550.183
1616535707.348	1.609	1556.668
1616535737.348	1.609	1562.998
1616535767.351	1.610	1569.687
1616535797.349	1.609	1576.050
1616535827.350	1.612	1582.743
1616535857.349	1.609	1589.103
1616535887.350	1.609	1595.307
1616535917.347	1.610	1601.807
1616535947.347	1.611	1608.490
1616535977.352	1.612	1614.880
1616536007.350	1.609	1621.527
1616536037.347	1.609	1628.192
1616536067.354	1.610	1634.570
1616536097.349	1.607	1640.960
1616536127.347	1.609	1647.500
1616536157.352	1.610	1654.275
1616536187.351	1.610	1661.063
1616536217.350	1.611	1667.318
1616536247.348	1.609	1673.710
1616536277.351	1.611	1680.583
1616536307.349	1.608	1687.015
1616536337.349	1.608	1693.445
1616536367.348	1.609	1699.922
1616536397.349	1.608	1706.345
1616536427.351	1.612	1713.100
1616536457.344	1.607	1719.927
1616536487.351	1.611	1726.648
1616536517.348	1.608	1733.068
1616536547.351	1.609	1739.580
1616536577.353	1.612	1746.112
1616536607.352	1.611	1752.350
1616536637.350	1.609	1758.823
1616536667.350	1.610	1765.113
1616536697.351	1.610	1772.030
1616536727.354	1.613	1778.493
1616536757.348	1.608	1784.785
1616536787.351	1.612	1791.385
1616536817.351	1.611	1797.648
1616536847.350	1.612	1804.143
1616536877.352	1.611	1810.718
1616536907.351	1.610	1817.082
1616536937.350	1.610	1823.873
1616536967.350	1.609	1830.448
1616536997.347	1.609	1836.855
1616537027.349	1.609	1843.462
1616537057.347	1.609	1849.947
1616537087.354	1.612	1856.468
1616537117.350	1.609	1863.162
1616537147.350	1.609	1869.657
1616537177.345	1.608	1876.033
1616537207.349	1.609	1882.558
1616537237.351	1.611	1889.283
1616537267.348	1.611	1895.852
1616537297.350	1.609	1902.327
1616537327.351	1.609	1908.650
1616537357.349	1.609	1915.170
1616537387.352	1.613	1921.605
1616537417.354	1.609	1928.285
1616537447.349	1.611	1935.212
1616537477.350	1.611	1941.730
1616537507.351	1.612	1947.838
1616537537.348	1.610	1954.255
1616537567.351	1.612	1960.962
1616537597.348	1.608	1967.615
1616537627.347	1.609	1973.580
1616537657.351	1.613	1980.197
1616537687.353	1.609	1986.818
1616537717.354	1.612	1993.427
1616537747.351	1.610	2000.147
1616537777.350	1.609	2006.710
1616537807.345	1.607	2013.090
1616537837.351	1.612	2019.737
1616537867.347	1.608	2025.943
1616537897.347	1.609	2032.277
1616537927.350	1.612	2038.920
1616537957.350	1.610	2045.352
1616537987.347	1.608	2052.005
1616538017.350	1.609	2058.422
1616538047.348	1.611	2064.590
1616538077.349	1.611	2071.162
1616538107.349	1.609	2077.887
1616538137.348	1.608	2084.057
1616538167.347	1.611	2090.723
1616538197.347	1.606	2097.548
1616538227.350	1.612	2103.987
1616538257.352	1.609	2110.443
1616538287.350	1.609	2116.575
1616538317.349	1.610	2123.165
1616538347.352	1.612	2129.543
1616538377.352	1.610	2136.103
1616538407.351	1.611	2142.783
1616538437.351	1.611	2149.065
1616538467.348	1.609	2155.645
1616538497.350	1.611	2161.780
1616538527.351	1.609	2168.442
1616538557.352	1.612	2175.240
1616538587.350	1.607	2181.667
1616538617.350	1.611	2188.127
1616538647.352	1.613	2194.912
1616538677.352	1.609	2201.240
1616538707.354	1.614	2207.875
1616538737.351	1.609	2214.445
1616538767.351	1.611	2221.053
1616538797.349	1.611	2227.545
1616538827.350	1.609	2233.922
1616538857.349	1.611	2240.307
1616538887.349	1.611	2247.032
1616538917.349	1.608	2253.578
1616538947.352	1.612	2260.057
1616538977.350	1.609	2266.452
1616539007.351	1.612	2272.953
1616539037.353	1.612	2279.600
1616539067.351	1.609	2286.295
1616539097.348	1.608	2292.652
1616539127.350	1.609	2298.990
1616539157.348	1.611	2305.548
1616539187.347	1.607	2311.942
1616539217.354	1.612	2318.438
1616539247.351	1.612	2324.667
1616539277.351	1.609	2331.400
1616539307.350	1.611	2337.872
1616539337.348	1.611	2344.657
1616539367.348	1.608	2350.640
1616539397.349	1.609	2357.095
1616539427.352	1.612	2363.548
1616539457.347	1.608	2369.785
1616539487.355	1.611	2376.483
1616539517.350	1.611	2383.213
1616539547.351	1.609	2389.303
1616539577.347	1.607	2395.768
1616539607.349	1.609	2402.143
1616539637.350	1.609	2408.722
1616539667.348	1.608	2414.632
1616539697.349	1.611	2421.095
1616539727.351	1.609	2427.563
1616539757.353	1.613	2433.917
1616539787.350	1.609	2440.580
1616539817.350	1.611	2446.803
1616539847.351	1.612	2453.153
1616539877.350	1.611	2459.937
1616539907.351	1.612	2466.417
1616539937.349	1.609	2473.003
1616539967.347	1.608	2479.738
1616539997.353	1.613	2486.090
1616540027.353	1.611	2492.455
1616540057.350	1.609	2498.850
1616540087.351	1.612	2505.452
1616540117.350	1.609	2512.333
1616540147.348	1.609	2518.690
1616540177.352	1.610	2524.790
1616540207.351	1.609	2531.258
1616540237.351	1.611	2537.935
1616540267.351	1.611	2544.288
1616540297.347	1.611	2550.665
1616540327.352	1.610	2556.645
1616540357.348	1.611	2563.527
1616540387.348	1.611	2569.510
1616540417.349	1.611	2575.702
1616540447.350	1.608	2581.425
1616540477.345	1.606	2588.103
1616540507.353	1.613	2594.513
1616540537.350	1.608	2601.350
1616540567.349	1.612	2607.793
1616540597.354	1.612	2614.577
1616540627.348	1.608	2620.877
1616540657.349	1.608	2627.037
1616540687.351	1.609	2633.480
1616540717.350	1.610	2640.260
1616540747.350	1.609	2646.970
1616540777.352	1.613	2653.047
1616540807.346	1.609	2659.628
1616540837.344	1.608	2666.052
1616540867.351	1.608	2672.725
1616540897.349	1.609	2679.298
1616540927.350	1.611	2685.437
1616540957.349	1.611	2691.982
1616540987.349	1.609	2698.330
1616541017.350	1.612	2704.770
1616541047.345	1.608	2711.322
1616541077.347	1.609	2718.030
1616541107.350	1.609	2724.223
1616541137.354	1.611	2730.743
1616541167.348	1.609	2737.248
1616541197.351	1.611	2743.423
1616541227.346	1.609	2750.067
1616541257.351	1.609	2756.783
1616541287.353	1.612	2762.907
1616541317.350	1.608	2768.812
1616541347.351	1.612	2775.177
1616541377.349	1.606	2781.853
1616541407.346	1.608	2788.140
1616541437.352	1.611	2794.478
1616541467.350	1.609	2800.665
1616541497.346	1.609	2807.132
1616541527.348	1.611	2813.582
1616541557.349	1.609	2820.005
1616541587.351	1.611	2826.433
1616541617.353	1.612	2833.085
1616541647.348	1.609	2839.637
1616541677.349	1.612	2845.935
1616541707.349	1.608	2852.002
1616541737.349	1.609	2858.395
1616541767.352	1.613	2864.685
1616541797.351	1.609	2870.915
1616541827.349	1.609	2876.302
1616541857.352	1.612	2881.752
1616541887.351	1.611	2887.363
1616541917.350	1.611	2892.165
1616541947.346	1.608	2897.493
1616541977.351	1.611	2902.020
1616542007.351	1.612	2906.185
1616542037.346	1.608	2911.020
1616542067.354	1.609	2916.312
1616542097.350	1.606	2920.022
1616542127.352	1.611	2923.795
1616542157.350	1.608	2928.207
1616542187.349	1.612	2932.697
1616542217.351	1.609	2935.830
1616542247.348	1.608	2939.420
1616542277.352	1.612	2942.797
1616542307.349	1.610	2945.748
1616542337.351	1.611	2948.818
1616542367.349	1.611	2951.467
1616542397.348	1.612	2954.193
1616542427.347	1.609	2957.302
1616542457.349	1.609	2960.163
1616542487.351	1.611	2961.363
1616542517.351	1.612	2963.483
1616542547.351	1.608	2966.152
1616542577.353	1.612	2967.755
1616542607.348	1.611	2970.087
1616542637.350	1.611	2971.743
1616542667.349	1.610	2973.343
1616542697.349	1.610	2976.708
1616542727.353	1.610	2979.052
1616542757.351	1.611	2980.103
1616542787.348	1.609	2981.297
1616542817.351	1.609	2982.515
1616542847.350	1.609	2984.187
1616542877.349	1.608	2985.832
1616542907.351	1.609	2987.845
1616542937.351	1.612	2989.242
1616542967.349	1.608	2989.688
1616542997.350	1.609	2990.148
1616543027.351	1.611	2991.302
1616543057.351	1.609	2993.742
1616543087.350	1.611	2992.855
1616543117.351	1.609	2993.910
1616543147.348	1.608	2995.160
1616543177.351	1.613	2995.347
1616543207.345	1.608	2996.067
1616543237.351	1.612	2997.742
1616543267.352	1.611	2997.843
1616543297.348	1.608	2997.180
1616543327.354	1.612	2998.670
1616543357.345	1.607	3001.035
1616543387.347	1.611	3002.183
1616543417.348	1.611	3003.000
