time (unix)	dt (s)	p (Pa)
1616596018.677	1.610	3033.28
1616596138.676	1.611	3034.85
1616596258.675	1.610	3036.13
1616596378.675	1.611	3037.06
1616596498.677	1.610	3037.44
1616596618.677	1.610	3038.94
1616596738.677	1.610	3039.94
1616596858.677	1.611	3040.85
1616596978.677	1.611	3040.16
1616597098.676	1.610	3042.13
1616597218.678	1.610	3042.45
1616597338.677	1.611	3042.67
1616597458.678	1.610	3043.35
1616597578.676	1.611	3041.50
1616597698.677	1.611	3037.27
1616597818.677	1.610	3031.33
1616597938.678	1.611	3024.25
1616598058.674	1.610	3013.83
1616598178.677	1.611	3000.69
1616598298.680	1.612	2985.78
1616598418.678	1.611	2967.47
1616598538.677	1.612	2949.25
1616598658.676	1.610	2930.12
1616598778.677	1.611	2909.86
1616598898.675	1.610	2888.78
1616599018.674	1.609	2866.18
1616599138.676	1.610	2843.28
1616599258.675	1.611	2819.12
1616599378.676	1.610	2795.11
1616599498.674	1.610	2770.51
1616599618.676	1.610	2746.02
1616599738.674	1.611	2721.50
1616599858.674	1.608	2697.24
1616599978.675	1.610	2671.61
1616600098.676	1.611	2646.85
1616600218.675	1.609	2621.75
1616600338.674	1.609	2596.23
1616600458.676	1.610	2570.26
1616600578.674	1.610	2545.08
1616600698.675	1.611	2519.29
1616600818.675	1.611	2494.15
1616600938.677	1.610	2468.74
1616601058.675	1.610	2442.81
1616601178.683	1.610	2417.51
1616601298.674	1.610	2391.43
1616601418.676	1.611	2365.56
1616601538.674	1.609	2339.93
1616601658.675	1.609	2313.68
1616601778.674	1.610	2288.15
1616601898.677	1.611	2262.04
1616602018.675	1.610	2236.77
1616602138.673	1.609	2211.42
1616602258.676	1.611	2185.56
1616602378.675	1.610	2159.75
1616602498.673	1.609	2134.07
1616602618.675	1.610	2108.22
1616602738.674	1.610	2081.90
1616602858.675	1.609	2055.94
1616602978.675	1.610	2030.40
1616603098.675	1.610	2004.55
